   Vol_A   Vol_B
   0.11   0.86
   0.24   0.75
   0.51   0.42
   0.94   0.06
   0.90   0.05
   0.23   0.67
   0.00   1.06
   0.02   0.98
   0.10   0.91
   0.25   0.74
   0.56   0.36
   0.71   0.29
   0.91   0.04
   1.00   0.08
   0.80   0.18
   0.90   0.12
   0.52   0.41
   0.03   0.96
   0.04   0.96
   0.01   0.99
   0.00   0.96
   0.01   1.02
   0.01   1.08
   0.83   0.16
   0.95   0.11
   0.18   0.85
   0.00   1.02
   0.67   0.35
   0.89   0.07
   1.00   0.04
   0.98   0.02
   1.03   0.02
   0.89   0.09
   0.17   0.85
   0.02   1.10
   0.08   0.98
   0.03   0.98
   0.04   0.97
   0.09   0.90
   0.22   0.73
   0.07   0.97
   0.02   1.05
   0.00   1.02
   0.04   0.93
   0.08   0.93
   0.14   0.80
   0.19   0.79
   0.43   0.47
   0.90   0.07
   0.92   0.01
   0.99   0.00
   1.03   0.00
   0.94   0.08
   0.21   0.82
   0.03   0.94
   0.12   0.83
   0.39   0.65
   0.77   0.21
   0.90   0.06
   0.85   0.06
   0.78   0.19
   0.16   0.86
   0.00   1.00
   0.00   0.99
   0.00   1.08
   0.01   0.98
   0.04   0.99
   0.04   0.93
   0.53   0.52
   1.06   0.06
   1.04   0.00
   0.88   0.00
   1.03   0.01
   0.86   0.16
   0.69   0.20
   0.97   0.04
   0.98   0.02
   0.91   0.06
   0.97   0.04
   1.04   0.00
   0.79   0.20
   0.14   0.92
   0.00   1.04
   0.00   1.06
   0.02   0.92
   0.04   1.00
   0.01   1.07
   0.00   1.04
   0.07   0.93
   0.95   0.12
   1.03   0.00
   1.04   0.01
   0.94   0.05
   1.03   0.02
   1.04   0.01
   0.96   0.00
   1.02   0.02
   0.95   0.00
   1.02   0.02
   0.93   0.05
   0.59   0.35
   0.03   0.93
   0.00   1.06
   0.01   0.97
   0.81   0.18
   0.77   0.20
   0.05   0.89
   0.00   1.00
   0.02   0.95
   0.85   0.09
   1.05   0.00
   0.91   0.12
   0.88   0.08
   1.01   0.00
   0.98   0.01
   1.04   0.00
   1.12   0.01
   0.99   0.00
   0.94   0.00
   0.97   0.07
   0.28   0.73
   0.00   1.01
   0.00   1.00
   0.01   1.04
   0.80   0.16
   0.95   0.09
   0.08   0.85
   0.00   1.01
   0.19   0.73
   1.00   0.04
   1.08   0.02
   0.41   0.59
   0.38   0.60
   0.72   0.22
   0.68   0.31
   0.85   0.14
   1.08   0.00
   1.04   0.00
   1.06   0.00
   0.99   0.03
   0.55   0.48
   0.04   0.91
   0.01   0.91
   0.01   1.07
   0.15   0.80
   0.25   0.82
   0.01   0.94
   0.01   1.05
   0.28   0.72
   0.92   0.08
   0.90   0.10
   0.25   0.74
   0.01   1.04
   0.06   0.93
   0.05   0.98
   0.09   0.96
   0.92   0.07
   1.01   0.00
   1.03   0.00
   1.05   0.01
   0.76   0.30
   0.51   0.54
   0.74   0.31
   0.42   0.63
   0.37   0.71
   0.35   0.63
   0.04   0.89
   0.05   0.91
   0.07   0.93
   0.54   0.43
   0.78   0.16
   0.30   0.69
   0.02   1.05
   0.00   1.00
   0.00   1.05
   0.10   0.91
   0.81   0.19
   0.95   0.05
   1.10   0.01
   1.03   0.00
   0.94   0.10
   1.02   0.03
   1.03   0.01
   1.01   0.03
   0.96   0.09
   0.91   0.09
   0.38   0.49
   0.10   0.88
   0.03   0.93
   0.61   0.35
   0.83   0.19
   0.05   0.97
   0.00   1.03
   0.02   1.05
   0.08   0.92
   0.47   0.46
   0.86   0.14
   0.97   0.07
   1.03   0.02
   1.04   0.00
   1.11   0.00
   1.02   0.00
   0.91   0.00
   1.01   0.00
   0.93   0.06
   1.02   0.04
   0.70   0.20
   0.06   1.01
   0.04   1.05
   0.50   0.51
   0.91   0.12
   0.19   0.85
   0.04   0.95
   0.26   0.70
   0.61   0.27
   0.95   0.05
   0.94   0.00
